dataset_id_or_name	modality	sample_size	population_or_ancestry	access_link	endpoint_availability	treatment_metadata	intended_role
GSE62254	Bulk tumor expression microarray	300	Asian Cancer Research Group; largely East Asian	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62254	Overall survival and recurrence patterns reported	Limited in public GEO page; subtype-rich clinical context	Default derivation cohort
GSE15459	Bulk tumor expression microarray	200 series samples; 192 gastric adenocarcinoma in final publication	Singapore cohort; Asian	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE15459	Outcome supplement available with prognosis relevance	Treatment-response context mentioned but requires qualification	Primary external prognosis replication
GSE84437	Bulk tumor expression microarray	483	Korean multi-cohort gastric tumors	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84437	Widely reused for survival modeling; cohort-level qualification still needed	Contains chemotherapy-response publication linkage but must be qualified	Primary external prognosis replication or exploratory treatment module
TCGA-STAD	RNA-seq plus multi-omics and clinical metadata	443 clinical cases; smaller overlap for RNA-seq analyses	Predominantly U.S.-based multiethnic TCGA cohort	https://portal.gdc.cancer.gov/projects/TCGA-STAD	Overall survival and clinicopathologic annotation widely available	Treatment data limited and heterogeneous	Orthogonal validation and covariate-adjusted context
GSE26253	FFPE tumor expression array	432	South Korea	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26253	Recurrence-focused high-risk postoperative cohort with recurrence-free survival time and status in series metadata	Uniform postoperative chemoradiotherapy context without an interpretable treatment comparator arm	Sensitivity and recurrence-oriented external compact-score validation cohort
GSE13861	Tumor plus normal expression array	90 series samples; prognostic model built on resected gastric cancer subsets	South Korea	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13861	Recurrence and prognosis context reported	No reliable treatment metadata assumed at planning stage	Sensitivity or fallback-endpoint candidate
GSE26899	Bulk gastric tumor and paired-normal expression array	108 series samples; 93 KUGH tumor rows in recovered endpoint workbook	South Korea	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26899	Recovered patient-level OS and RFS from Nat Commun Supplementary Data 2	Interpretable adjuvant chemotherapy labels in linked workbook and GEO context	Treatment-aware external extension candidate
GSE26901	Bulk gastric tumor expression array	109 tumor samples with KUCM patient-level endpoint linkage	South Korea	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26901	Recovered patient-level OS and RFS from Nat Commun Supplementary Data 2	Interpretable adjuvant chemotherapy labels in linked workbook and GEO context	Treatment-aware external extension candidate
GSE26942	Bulk gastric tumor expression array super-series	217	South Korea	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26942	Subtype and clinical context present; survival usability needs qualification	Not assumed sufficient for treatment analysis	Breadth candidate and subtype-context sensitivity resource
GSE29272	Bulk gastric cardia/non-cardia expression array	268	China high-risk population	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29272	Primarily tumor-normal and site comparison; prognosis utility uncertain	Not assumed sufficient	Control or exclusion candidate to document landscape breadth
