probe_id	gene_symbol
ILMN_1343291	EEF1A1
ILMN_1651209	SLC35E2
ILMN_1651228	RPS28
ILMN_1651229	IPO13
ILMN_1651235	AFAP1
ILMN_1651237	CDT1
ILMN_1651238	TRPV1
ILMN_1651254	LPP
ILMN_1651262	HNRNPAB
ILMN_1651268	LOH12CR1
ILMN_1651282	COL17A1
ILMN_1651285	BCL6B
ILMN_1651286	GRHL1
ILMN_1651292	LOC644613
ILMN_1651303	ATP13A4
ILMN_1651315	HMG20B
ILMN_1651336	MLYCD
ILMN_1651343	ITGA11
ILMN_1651346	TICAM2
ILMN_1651347	SERTAD2
ILMN_1651354	SPP1
ILMN_1651370	USP21
ILMN_1651378	AUP1
ILMN_1651385	MFN2
ILMN_1651405	BRD9
ILMN_1651415	DERL3
ILMN_1651428	SYTL2
ILMN_1651429	SELM
ILMN_1651438	ZFPM1
ILMN_1651490	CYP26A1
ILMN_1651492	WNT2B
ILMN_1651496	HIST1H2BD
ILMN_1651498	GADD45G
ILMN_1651499	ERGIC1
ILMN_1651501	ABCD4
ILMN_1651504	C4orf8
ILMN_1651513	SKIV2L2
ILMN_1651536	GEFT
ILMN_1651544	HDAC8
ILMN_1651557	KDELC2
ILMN_1651568	MUC13
ILMN_1651597	FBXO44
ILMN_1651628	EXOC6
ILMN_1651642	GPC2
ILMN_1651657	ADAM33
ILMN_1651684	KIAA0586
ILMN_1651692	STK10
ILMN_1651710	IQCD
ILMN_1651715	RNF2
ILMN_1651719	MBTPS1
ILMN_1651735	TGOLN2
ILMN_1651741	ARMCX3
ILMN_1651745	TMEM25
ILMN_1651767	MKL1
ILMN_1651771	RRAGB
ILMN_1651776	FHOD1
ILMN_1651787	MSH5
ILMN_1651788	MAP3K11
ILMN_1651792	RORC
ILMN_1651799	SLC38A2
ILMN_1651800	GSTM4
ILMN_1651819	GALNT11
ILMN_1651826	BASP1
ILMN_1651828	CCT3
ILMN_1651832	EHD1
ILMN_1651838	RND1
ILMN_1651850	RPS16
ILMN_1651872	UBIAD1
ILMN_1651878	EVC
ILMN_1651886	CWF19L1
ILMN_1651902	RASL11A
ILMN_1651936	SETD8
ILMN_1651949	SCYL3
ILMN_1651964	ABCC5
ILMN_1651966	FGFR3
ILMN_1651967	TP53I3
ILMN_1651987	C6orf129
ILMN_1652006	SMC1A
ILMN_1652022	DHX57
ILMN_1652023	AGFG2
ILMN_1652024	CSNK1G3
ILMN_1652056	TTN
ILMN_1652065	KCNMB1
ILMN_1652082	ELF4
ILMN_1652088	PAPOLB
ILMN_1652128	LMBRD1
ILMN_1652137	PPYR1
ILMN_1652147	MRPL43
ILMN_1652161	PNKD
ILMN_1652163	DVL2
ILMN_1652171	CDKN2C
ILMN_1652185	IL4R
ILMN_1652188	KIAA1632
ILMN_1652198	CCM2
ILMN_1652207	COX4I1
