dataset_id	sample_size	event_count	ancestry	platform	treatment_metadata	resource_type	planned_role	endpoint_availability	key_qc_metrics
GSE62254	300	tbd	Asian Cancer Research Group; largely East Asian	Bulk tumor expression microarray	Limited in public GEO page; subtype-rich clinical context	GEO bulk transcriptomic cohort	Primary derivation dataset	Overall survival and recurrence patterns reported	sample_size=300;endpoint_review_pending;role=Primary_derivation_dataset
GSE15459	200 series samples; 192 gastric adenocarcinoma in final publication	tbd	Singapore cohort; Asian	Bulk tumor expression microarray	Treatment-response context mentioned but requires qualification	GEO bulk transcriptomic cohort	External prognosis replication	Outcome supplement available with prognosis relevance	sample_size=200 series samples; 192 gastric adenocarcinoma in final publication;endpoint_review_pending;role=External_prognosis_replication
GSE84437	483	tbd	Korean multi-cohort gastric tumors	Bulk tumor expression microarray	Contains chemotherapy-response publication linkage but must be qualified	GEO bulk transcriptomic cohort	External prognosis replication or optional extension	Widely reused for survival modeling; cohort-level qualification still needed	sample_size=483;endpoint_review_pending;role=External_prognosis_replication_or_optional_extension
TCGA-STAD	443 clinical cases; smaller overlap for RNA-seq analyses	tbd	Predominantly U.S.-based multiethnic TCGA cohort	RNA-seq plus multi-omics and clinical metadata	Treatment data limited and heterogeneous	GDC multi-omics and clinical cohort	Orthogonal validation and clinicopathologic context	Overall survival and clinicopathologic annotation widely available	sample_size=443 clinical cases; smaller overlap for RNA-seq analyses;endpoint_review_pending;role=Orthogonal_validation_and_clinicopathologic_context
GSE26253	432	tbd	South Korea	FFPE tumor expression array	Uniform postoperative chemoradiotherapy context without an interpretable treatment comparator arm	GEO FFPE transcriptomic cohort	Sensitivity and recurrence-oriented external compact-score validation	Recurrence-focused high-risk postoperative cohort with recurrence-free survival time and status in series metadata	sample_size=432;endpoint_review_pending;role=Sensitivity_and_recurrence-oriented_external_compact-score_validation
GSE13861	90 series samples; prognostic model built on resected gastric cancer subsets	tbd	South Korea	Tumor plus normal expression array	No reliable treatment metadata assumed at planning stage	GEO bulk transcriptomic cohort	Sensitivity or fallback-endpoint cohort	Recurrence and prognosis context reported	sample_size=90 series samples; prognostic model built on resected gastric cancer subsets;endpoint_review_pending;role=Sensitivity_or_fallback-endpoint_cohort
GSE26899	108 series samples; 93 KUGH tumor rows in recovered endpoint workbook	tbd	South Korea	Bulk gastric tumor and paired-normal expression array	Interpretable adjuvant chemotherapy labels in linked workbook and GEO context	GEO bulk transcriptomic cohort	Treatment-aware external extension candidate	Recovered patient-level OS and RFS from Nat Commun Supplementary Data 2	sample_size=108 series samples; 93 KUGH tumor rows in recovered endpoint workbook;endpoint_review_pending;role=Treatment-aware_external_extension_candidate
GSE26901	109 tumor samples with KUCM patient-level endpoint linkage	tbd	South Korea	Bulk gastric tumor expression array	Interpretable adjuvant chemotherapy labels in linked workbook and GEO context	GEO bulk transcriptomic cohort	Treatment-aware external extension candidate	Recovered patient-level OS and RFS from Nat Commun Supplementary Data 2	sample_size=109 tumor samples with KUCM patient-level endpoint linkage;endpoint_review_pending;role=Treatment-aware_external_extension_candidate
GSE26942	217	tbd	South Korea	Bulk gastric tumor expression array super-series	Not assumed sufficient for treatment analysis	GEO bulk transcriptomic super-series	Landscape breadth or control cohort	Subtype and clinical context present; survival usability needs qualification	sample_size=217;endpoint_review_pending;role=Landscape_breadth_or_control_cohort
GSE29272	268	tbd	China high-risk population	Bulk gastric cardia/non-cardia expression array	Not assumed sufficient	GEO bulk transcriptomic gastric cohort	Control or exclusion-documented cohort	Primarily tumor-normal and site comparison; prognosis utility uncertain	sample_size=268;endpoint_review_pending;role=Control_or_exclusion-documented_cohort
